time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
65,164,12,5,31,9,11,13
70,345,11,5,39,9,11,12
75,505,11,5,39,8,10,13
80,664,12,5,39,8,10,13
85,794,12,5,39,8,10,14
90,885,13,5,39,8,11,16
95,1036,13,5,39,8,11,16
100,1228,13,5,51,8,10,15
105,1422,12,5,51,8,10,14
110,1582,12,5,51,8,10,14
115,1696,12,5,51,8,10,15
120,1848,12,5,60,8,10,15
