time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1359, 6.865342, 5, 24, 6, 6, 7
5, 1324, 7.057402, 5, 17, 6, 6, 8
10, 1382, 6.720695, 5, 21, 6, 6, 7
15, 1170, 8.035897, 4, 19, 6, 7, 9
20, 1203, 7.809643, 5, 23, 6, 7, 8
25, 1157, 8.131374, 5, 19, 7, 8, 9
30, 1149, 8.206266, 5, 21, 7, 8, 9
35, 1214, 7.747941, 5, 22, 6, 7, 9
40, 1185, 7.917300, 4, 23, 6, 7, 9
45, 1200, 7.832500, 5, 24, 7, 7, 9
50, 1396, 6.656877, 5, 17, 6, 6, 7
55, 1375, 6.766545, 5, 28, 6, 6, 7
