time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1222, 7.696399, 4, 36, 6, 7, 9
5, 1345, 6.946468, 4, 16, 6, 7, 7
10, 1288, 7.263199, 4, 18, 6, 7, 8
15, 1318, 7.083460, 4, 16, 6, 7, 8
20, 1378, 6.757620, 4, 18, 6, 6, 7
25, 1396, 6.697708, 4, 21, 6, 6, 7
30, 1390, 6.694964, 4, 15, 6, 6, 7
35, 1386, 6.727994, 4, 23, 6, 6, 7
40, 1365, 6.824176, 4, 15, 6, 7, 7
45, 1365, 6.846886, 4, 23, 6, 7, 7
50, 1368, 6.816520, 4, 21, 6, 6, 7
55, 1342, 6.949329, 4, 15, 6, 7, 7
60, 1, 6.000000, 6, 6, 6, 6, 6
