time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 16729, 0.009564, 0, 3, 0, 0, 0
5, 20016, 0.007794, 0, 8, 0, 0, 0
10, 17593, 0.009379, 0, 3, 0, 0, 0
15, 20856, 0.005946, 0, 3, 0, 0, 0
20, 16918, 0.009753, 0, 3, 0, 0, 0
25, 17954, 0.009190, 0, 3, 0, 0, 0
30, 18954, 0.009497, 0, 3, 0, 0, 0
35, 17611, 0.011640, 0, 5, 0, 0, 0
40, 17564, 0.012639, 0, 4, 0, 0, 0
45, 17565, 0.034557, 0, 6, 0, 0, 0
50, 14488, 0.078962, 0, 24, 0, 0, 0
55, 20179, 0.012340, 0, 2, 0, 0, 0
60, 6, 0.000000, 0, 0, 0, 0, 0
