time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 111, 17.072072, 2, 47, 10, 16, 22
1, 112, 17.705357, 2, 55, 11, 17, 24
2, 100, 19.410000, 3, 55, 11, 17, 26
3, 110, 17.636364, 2, 76, 11, 16, 23
4, 135, 14.451852, 2, 47, 7, 13, 18
5, 114, 16.824561, 2, 89, 7, 14, 19
6, 112, 17.437500, 2, 62, 11, 15, 23
7, 108, 17.907407, 2, 70, 10, 16, 25
8, 111, 17.225225, 2, 56, 6, 15, 24
9, 116, 16.603448, 2, 48, 8, 16, 24
10, 108, 18.351852, 2, 56, 9, 15, 24
11, 127, 15.236220, 2, 48, 5, 14, 20
12, 117, 16.726496, 2, 57, 9, 15, 22
13, 112, 17.098214, 2, 75, 6, 14, 22
14, 143, 13.566434, 2, 55, 5, 12, 17
15, 112, 17.062500, 2, 50, 10, 15, 23
16, 121, 16.231405, 1, 55, 7, 16, 23
17, 123, 15.682927, 2, 51, 5, 15, 20
18, 125, 15.608000, 2, 66, 4, 14, 22
19, 113, 16.362832, 2, 47, 6, 15, 22
20, 106, 19.188679, 2, 63, 12, 18, 26
21, 118, 16.144068, 2, 60, 7, 15, 22
22, 116, 16.758621, 2, 44, 8, 16, 22
23, 107, 17.869159, 2, 49, 10, 16, 26
24, 121, 16.123967, 2, 50, 5, 14, 22
25, 96, 19.895833, 2, 54, 11, 17, 28
26, 112, 17.821429, 2, 58, 11, 15, 23
27, 113, 17.185841, 1, 55, 8, 15, 23
28, 100, 19.130000, 2, 49, 10, 15, 26
29, 122, 15.696721, 2, 43, 9, 15, 22
30, 128, 15.265625, 2, 49, 7, 13, 21
31, 130, 15.100000, 2, 48, 6, 13, 20
32, 112, 17.178571, 2, 49, 9, 15, 23
33, 101, 19.277228, 1, 81, 7, 17, 25
34, 118, 16.457627, 2, 64, 9, 15, 21
35, 118, 16.127119, 1, 80, 6, 13, 19
36, 103, 18.805825, 2, 79, 11, 17, 25
37, 120, 16.608333, 2, 54, 8, 14, 22
38, 115, 16.773913, 2, 73, 7, 13, 22
39, 118, 16.372881, 2, 55, 9, 16, 22
40, 101, 19.277228, 2, 58, 13, 17, 27
41, 131, 14.725191, 2, 50, 5, 15, 20
42, 132, 14.750000, 2, 48, 6, 15, 18
43, 104, 18.682692, 2, 59, 10, 18, 24
44, 119, 16.252101, 2, 49, 5, 15, 22
45, 109, 17.825688, 2, 50, 9, 16, 24
46, 124, 15.338710, 2, 47, 4, 15, 20
47, 120, 16.575000, 2, 53, 5, 15, 24
48, 133, 14.172932, 2, 39, 7, 13, 19
49, 133, 14.706767, 1, 55, 5, 13, 20
50, 97, 20.000000, 3, 61, 11, 17, 28
51, 105, 18.695238, 2, 101, 12, 17, 23
52, 110, 17.409091, 2, 68, 9, 15, 22
53, 109, 18.100917, 2, 50, 9, 17, 27
54, 115, 16.800000, 2, 59, 10, 15, 22
55, 126, 15.484127, 2, 54, 7, 14, 21
56, 118, 16.245763, 2, 55, 6, 13, 22
57, 126, 15.285714, 1, 58, 5, 14, 21
58, 129, 15.224806, 2, 51, 7, 14, 21
59, 112, 17.000000, 2, 53, 5, 15, 27
