time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 109, 17.669725, 2, 52, 10, 16, 24
1, 120, 16.100000, 2, 73, 8, 14, 21
2, 129, 14.914729, 2, 54, 5, 14, 21
3, 135, 14.503704, 2, 45, 5, 13, 20
4, 105, 18.400000, 2, 101, 10, 16, 25
5, 131, 14.603053, 2, 58, 4, 12, 19
6, 116, 16.801724, 2, 50, 10, 15, 24
7, 134, 14.417910, 2, 56, 5, 13, 19
8, 119, 16.369748, 2, 52, 6, 15, 23
9, 109, 17.706422, 2, 68, 9, 15, 24
10, 125, 15.176000, 2, 61, 5, 13, 20
11, 128, 15.210938, 2, 55, 5, 14, 20
12, 135, 14.385185, 2, 43, 7, 13, 20
13, 133, 14.609023, 2, 53, 5, 15, 21
14, 118, 16.228814, 2, 82, 8, 14, 20
15, 128, 15.085938, 2, 48, 6, 14, 20
16, 135, 14.118519, 1, 48, 5, 12, 19
17, 118, 16.703390, 2, 59, 10, 14, 22
18, 113, 16.831858, 2, 47, 10, 15, 21
19, 118, 16.822034, 2, 56, 9, 14, 20
20, 117, 16.410256, 2, 61, 9, 15, 22
21, 126, 15.420635, 2, 42, 9, 15, 20
22, 118, 16.500000, 2, 48, 10, 16, 21
23, 118, 16.279661, 2, 57, 8, 16, 21
24, 109, 17.963303, 2, 58, 11, 18, 25
25, 115, 16.730435, 2, 55, 10, 15, 22
26, 108, 17.888889, 1, 50, 9, 16, 24
27, 132, 14.878788, 2, 42, 9, 15, 20
28, 131, 14.473282, 2, 40, 5, 14, 19
29, 122, 15.811475, 2, 56, 8, 13, 21
30, 143, 13.713287, 2, 45, 4, 12, 19
31, 100, 19.340000, 2, 44, 12, 17, 25
32, 130, 14.746154, 1, 55, 4, 12, 21
33, 120, 16.283333, 2, 51, 9, 15, 23
34, 138, 13.847826, 1, 50, 4, 13, 19
35, 115, 16.886957, 2, 94, 9, 16, 22
36, 120, 16.183333, 2, 72, 4, 13, 22
37, 111, 17.396396, 2, 46, 8, 16, 25
38, 115, 16.721739, 2, 56, 7, 16, 23
39, 122, 16.024590, 2, 45, 10, 14, 21
40, 143, 13.265734, 2, 45, 4, 13, 18
41, 137, 14.233577, 1, 43, 4, 13, 20
42, 132, 14.651515, 1, 52, 4, 13, 19
43, 120, 15.791667, 2, 60, 8, 15, 21
44, 127, 15.259843, 1, 61, 5, 15, 20
45, 120, 16.266667, 2, 42, 8, 16, 23
46, 103, 18.640777, 2, 55, 10, 18, 26
47, 127, 15.622047, 2, 52, 6, 14, 22
48, 141, 13.609929, 1, 56, 4, 12, 18
49, 146, 13.061644, 2, 45, 4, 12, 18
50, 135, 14.518519, 2, 47, 6, 14, 20
51, 132, 14.227273, 2, 47, 4, 12, 22
52, 129, 15.325581, 2, 55, 9, 13, 20
53, 124, 15.596774, 2, 79, 8, 14, 19
54, 141, 13.425532, 2, 50, 5, 12, 18
55, 119, 16.302521, 2, 50, 5, 15, 22
56, 127, 15.212598, 2, 51, 5, 14, 21
57, 121, 16.280992, 2, 50, 5, 16, 23
58, 108, 17.814815, 2, 81, 9, 16, 24
59, 116, 16.887931, 1, 55, 5, 14, 25
60, 1, 3.000000, 3, 3, 3, 3, 3
