time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 774, 2.028424, 1, 4, 2, 2, 2
1, 769, 2.107932, 1, 4, 2, 2, 2
2, 783, 2.015326, 1, 6, 2, 2, 2
3, 742, 2.171159, 1, 6, 2, 2, 2
4, 830, 1.928916, 1, 5, 2, 2, 2
5, 752, 2.154255, 1, 7, 2, 2, 2
6, 707, 2.281471, 1, 5, 2, 2, 3
7, 762, 2.111549, 1, 4, 2, 2, 2
8, 767, 2.106910, 1, 7, 2, 2, 2
9, 839, 1.859356, 1, 3, 2, 2, 2
10, 685, 2.397080, 1, 19, 2, 2, 3
11, 724, 2.256906, 1, 9, 2, 2, 3
12, 750, 2.168000, 1, 5, 2, 2, 2
13, 902, 1.668514, 1, 5, 1, 2, 2
14, 778, 2.073265, 1, 4, 2, 2, 2
15, 719, 2.294854, 1, 4, 2, 2, 3
16, 785, 2.048408, 1, 4, 2, 2, 2
17, 814, 1.975430, 1, 4, 2, 2, 2
18, 842, 1.890736, 1, 4, 2, 2, 2
19, 883, 1.708947, 1, 4, 1, 2, 2
20, 881, 1.723042, 1, 4, 1, 2, 2
21, 830, 1.884337, 1, 10, 1, 2, 2
22, 832, 1.956731, 1, 4, 2, 2, 2
23, 860, 1.852326, 1, 4, 2, 2, 2
24, 786, 2.034351, 1, 4, 2, 2, 2
25, 804, 1.909204, 1, 5, 1, 2, 2
26, 811, 1.928483, 1, 9, 1, 2, 2
27, 919, 1.619151, 1, 4, 1, 2, 2
28, 718, 2.295265, 1, 4, 2, 2, 3
29, 781, 2.107554, 1, 5, 2, 2, 2
30, 832, 1.899038, 1, 4, 2, 2, 2
31, 703, 2.314367, 1, 5, 2, 2, 3
32, 848, 1.880896, 1, 8, 2, 2, 2
33, 825, 1.913939, 1, 4, 2, 2, 2
34, 784, 2.067602, 1, 4, 2, 2, 2
35, 702, 2.351852, 1, 9, 2, 2, 3
36, 753, 2.143426, 1, 4, 2, 2, 2
37, 733, 2.227831, 1, 6, 2, 2, 2
38, 799, 2.033792, 1, 4, 2, 2, 2
39, 755, 2.157616, 1, 9, 2, 2, 2
40, 783, 2.063857, 1, 4, 2, 2, 2
41, 747, 2.196787, 1, 6, 2, 2, 2
42, 742, 2.206199, 1, 12, 2, 2, 2
43, 752, 2.125000, 1, 5, 2, 2, 2
44, 772, 2.081606, 1, 4, 2, 2, 2
45, 744, 2.227151, 1, 7, 2, 2, 2
46, 757, 2.136063, 1, 4, 2, 2, 2
47, 802, 2.013716, 1, 4, 2, 2, 2
48, 822, 1.973236, 1, 7, 2, 2, 2
49, 805, 1.982609, 1, 4, 2, 2, 2
50, 848, 1.864387, 1, 4, 2, 2, 2
51, 815, 1.970552, 1, 4, 2, 2, 2
52, 775, 2.089032, 1, 4, 2, 2, 2
53, 731, 2.190150, 1, 4, 2, 2, 3
54, 717, 2.267782, 1, 4, 2, 2, 3
55, 765, 2.094118, 1, 4, 2, 2, 2
56, 733, 2.212824, 1, 4, 2, 2, 3
57, 775, 2.067097, 1, 5, 2, 2, 2
58, 776, 2.069588, 1, 5, 2, 2, 2
59, 779, 2.037227, 1, 4, 2, 2, 2
60, 4, 2.000000, 2, 2, 2, 2, 2
