time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 115, 16.965217, 2, 45, 10, 16, 23
1, 135, 14.385185, 2, 45, 5, 13, 19
2, 132, 14.537879, 2, 45, 5, 14, 19
3, 103, 18.436893, 2, 74, 10, 17, 24
4, 154, 12.785714, 1, 46, 4, 10, 19
5, 115, 16.460870, 2, 49, 7, 14, 24
6, 126, 15.666667, 2, 62, 6, 14, 20
7, 123, 15.634146, 2, 47, 9, 13, 20
8, 127, 15.425197, 2, 52, 7, 14, 21
9, 128, 15.054688, 1, 51, 6, 14, 19
10, 123, 14.918699, 2, 51, 4, 14, 22
11, 126, 16.047619, 2, 55, 10, 14, 21
12, 125, 15.344000, 2, 44, 5, 15, 22
13, 117, 16.735043, 2, 67, 6, 15, 22
14, 118, 16.313559, 2, 55, 8, 15, 21
15, 111, 17.558559, 2, 57, 8, 15, 24
16, 123, 15.747967, 2, 50, 9, 15, 21
17, 119, 16.193277, 2, 46, 9, 15, 22
18, 116, 16.655172, 2, 66, 8, 15, 22
19, 114, 17.008772, 2, 47, 7, 16, 24
20, 120, 16.316667, 2, 54, 9, 15, 20
21, 126, 15.007937, 2, 43, 7, 15, 20
22, 122, 16.254098, 2, 49, 9, 15, 22
23, 126, 15.023810, 2, 55, 6, 15, 19
24, 123, 15.918699, 2, 49, 5, 15, 23
25, 117, 16.547009, 1, 62, 10, 15, 20
26, 156, 12.224359, 2, 46, 4, 11, 16
27, 112, 16.973214, 2, 71, 10, 15, 23
28, 127, 15.566929, 2, 79, 5, 14, 19
29, 119, 16.151261, 2, 46, 8, 16, 22
30, 129, 15.131783, 2, 42, 8, 14, 20
31, 138, 13.876812, 2, 36, 8, 13, 18
32, 122, 15.737705, 2, 56, 7, 14, 22
33, 122, 15.991803, 2, 51, 10, 16, 21
34, 128, 15.203125, 2, 48, 6, 13, 21
35, 145, 13.213793, 2, 83, 4, 11, 17
36, 111, 17.504505, 2, 96, 10, 15, 21
37, 106, 18.339623, 1, 56, 11, 16, 23
38, 114, 17.008772, 2, 48, 11, 14, 24
39, 119, 16.378151, 2, 52, 7, 15, 23
40, 114, 16.947368, 2, 61, 9, 16, 22
41, 111, 17.378378, 2, 64, 11, 17, 22
42, 117, 16.709402, 2, 47, 8, 15, 23
43, 114, 16.982456, 2, 49, 10, 15, 23
44, 111, 17.405405, 2, 52, 9, 16, 23
45, 100, 19.300000, 1, 63, 10, 18, 27
46, 124, 15.862903, 2, 48, 9, 16, 22
47, 123, 15.154472, 2, 65, 5, 13, 20
48, 110, 18.163636, 2, 115, 10, 15, 21
49, 123, 15.788618, 2, 50, 5, 15, 22
50, 124, 15.669355, 2, 56, 7, 15, 20
51, 137, 14.116788, 2, 48, 5, 12, 18
52, 95, 20.126316, 2, 50, 13, 20, 26
53, 126, 15.587302, 2, 48, 8, 15, 22
54, 96, 20.302083, 2, 63, 12, 18, 25
55, 124, 15.209677, 2, 46, 9, 14, 20
56, 117, 16.982906, 2, 44, 10, 15, 21
57, 118, 16.279661, 2, 48, 6, 14, 24
58, 119, 16.361345, 2, 53, 9, 15, 23
59, 124, 15.741935, 2, 54, 6, 13, 22
