time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1355, 0.931365, 0, 5, 0, 1, 1
1, 1334, 0.967016, 0, 5, 0, 1, 1
2, 1668, 0.584532, 0, 5, 0, 0, 1
3, 1700, 0.552941, 0, 4, 0, 0, 1
4, 1791, 0.479062, 0, 4, 0, 0, 1
5, 1713, 0.541156, 0, 18, 0, 0, 1
6, 1747, 0.508872, 0, 4, 0, 0, 1
7, 1694, 0.541322, 0, 4, 0, 0, 1
8, 1568, 0.661990, 0, 5, 0, 1, 1
9, 1366, 0.928990, 0, 5, 0, 1, 1
10, 1402, 0.888730, 0, 5, 0, 1, 1
11, 1380, 0.898551, 0, 5, 0, 1, 1
12, 1416, 0.849576, 0, 6, 0, 1, 1
13, 1389, 0.876170, 0, 13, 0, 1, 1
14, 1372, 0.930758, 0, 5, 0, 1, 1
15, 1627, 0.641672, 0, 5, 0, 0, 1
16, 1352, 0.919379, 0, 6, 0, 1, 1
17, 1628, 0.600123, 0, 5, 0, 0, 1
18, 1741, 0.512924, 0, 5, 0, 0, 1
19, 1700, 0.558824, 0, 5, 0, 0, 1
20, 1624, 0.602833, 0, 19, 0, 0, 1
21, 1569, 0.656469, 0, 4, 0, 0, 1
22, 1577, 0.664553, 0, 6, 0, 1, 1
23, 1337, 0.955123, 0, 7, 0, 1, 1
24, 1324, 0.981118, 0, 5, 0, 1, 1
25, 1651, 0.606905, 0, 25, 0, 0, 1
26, 1799, 0.495275, 0, 4, 0, 0, 1
27, 1405, 0.860498, 0, 12, 0, 1, 1
28, 1403, 0.883820, 0, 5, 0, 1, 1
29, 1360, 0.913971, 0, 6, 0, 1, 1
30, 1340, 0.961194, 0, 6, 0, 1, 1
31, 1368, 0.919591, 0, 6, 0, 1, 1
32, 1630, 0.616564, 0, 5, 0, 0, 1
33, 1734, 0.520761, 0, 5, 0, 0, 1
34, 1602, 0.641074, 0, 5, 0, 0, 1
35, 1317, 0.975702, 0, 18, 0, 1, 1
36, 1397, 0.886901, 0, 6, 0, 1, 1
37, 1668, 0.595324, 0, 5, 0, 0, 1
38, 1430, 0.839860, 0, 5, 0, 1, 1
39, 1334, 0.945277, 0, 6, 0, 1, 1
40, 1378, 0.926705, 0, 5, 0, 1, 1
41, 1368, 0.926901, 0, 5, 0, 1, 1
42, 1391, 0.876348, 0, 22, 0, 1, 1
43, 1473, 0.795655, 0, 15, 0, 1, 1
44, 1634, 0.633415, 0, 10, 0, 0, 1
45, 1896, 0.466245, 0, 4, 0, 0, 1
46, 1709, 0.528379, 0, 5, 0, 0, 1
47, 1658, 0.579614, 0, 6, 0, 0, 1
48, 1713, 0.539405, 0, 5, 0, 0, 1
49, 1550, 0.687742, 0, 11, 0, 0, 1
50, 1376, 0.903343, 0, 6, 0, 1, 1
51, 1424, 0.837781, 0, 5, 0, 1, 1
52, 1586, 0.665195, 0, 5, 0, 1, 1
53, 1654, 0.590085, 0, 5, 0, 0, 1
54, 1716, 0.538462, 0, 6, 0, 0, 1
55, 1730, 0.520231, 0, 4, 0, 0, 1
56, 1609, 0.637042, 0, 13, 0, 0, 1
57, 1630, 0.599387, 0, 5, 0, 0, 1
58, 1671, 0.564931, 0, 5, 0, 0, 1
59, 1727, 0.535611, 0, 4, 0, 0, 1
