time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 54, 36.425926, 22, 52, 32, 35, 40
1, 53, 36.679245, 23, 50, 33, 37, 40
2, 51, 39.117647, 21, 79, 33, 38, 42
3, 51, 37.588235, 20, 62, 34, 37, 40
4, 51, 39.274510, 22, 83, 33, 39, 42
5, 53, 36.830189, 24, 51, 32, 36, 41
6, 50, 38.500000, 26, 86, 32, 37, 41
7, 55, 36.781818, 24, 63, 31, 36, 41
8, 53, 36.867925, 24, 52, 33, 36, 40
9, 49, 39.897959, 26, 84, 33, 37, 43
10, 54, 36.648148, 25, 49, 33, 36, 41
11, 51, 38.901961, 26, 87, 33, 37, 41
12, 53, 36.849057, 20, 56, 34, 36, 40
13, 54, 36.629630, 25, 52, 34, 37, 40
14, 51, 38.686275, 23, 81, 33, 37, 42
15, 52, 37.384615, 27, 68, 33, 36, 41
16, 51, 38.000000, 21, 78, 33, 37, 42
17, 54, 36.666667, 26, 49, 31, 38, 41
18, 50, 39.340000, 23, 79, 35, 39, 42
19, 53, 37.547170, 26, 56, 32, 38, 42
20, 54, 36.203704, 25, 54, 34, 36, 38
21, 51, 38.215686, 24, 73, 34, 37, 41
22, 54, 37.425926, 25, 56, 34, 37, 40
23, 50, 38.600000, 22, 78, 32, 37, 41
24, 53, 37.622642, 27, 60, 32, 36, 42
25, 55, 35.763636, 23, 50, 31, 36, 40
26, 52, 38.423077, 21, 69, 32, 37, 44
27, 53, 36.169811, 26, 51, 32, 35, 39
28, 51, 38.627451, 21, 80, 34, 37, 42
29, 54, 36.611111, 25, 51, 35, 37, 39
30, 53, 36.452830, 22, 64, 32, 36, 40
31, 53, 38.188679, 21, 76, 33, 38, 43
32, 53, 37.113208, 25, 51, 33, 37, 40
33, 49, 39.285714, 26, 79, 34, 38, 43
34, 51, 38.098039, 27, 64, 34, 38, 40
35, 51, 38.901961, 26, 81, 34, 37, 41
36, 55, 35.600000, 26, 47, 32, 35, 39
37, 58, 33.413793, 14, 210, 28, 29, 33
38, 66, 29.060606, 23, 77, 27, 28, 29
39, 69, 28.739130, 23, 56, 26, 27, 29
40, 64, 30.046875, 23, 40, 28, 30, 32
41, 54, 35.314815, 27, 52, 33, 35, 37
42, 61, 33.836066, 20, 77, 29, 32, 37
43, 57, 34.070175, 25, 45, 31, 34, 36
44, 53, 37.132075, 31, 80, 34, 35, 38
45, 57, 35.017544, 28, 44, 33, 35, 37
46, 57, 34.368421, 24, 84, 30, 33, 36
47, 60, 32.183333, 20, 40, 29, 32, 35
48, 54, 36.351852, 29, 73, 34, 36, 37
49, 59, 33.508475, 23, 40, 30, 34, 37
50, 55, 35.818182, 24, 70, 33, 34, 37
51, 56, 34.392857, 25, 42, 32, 35, 36
52, 53, 36.094340, 24, 61, 32, 36, 38
53, 51, 39.647059, 30, 86, 34, 38, 42
54, 52, 37.192308, 26, 49, 32, 36, 41
55, 52, 38.173077, 26, 72, 34, 37, 40
56, 60, 33.200000, 22, 56, 29, 32, 35
57, 47, 40.276596, 26, 155, 30, 35, 40
58, 63, 31.507937, 22, 92, 27, 29, 33
59, 56, 34.732143, 25, 72, 29, 33, 37
