time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 113, 17.044248, 2, 50, 10, 15, 21
1, 126, 15.476190, 2, 70, 9, 14, 19
2, 139, 13.769784, 2, 48, 4, 13, 21
3, 139, 13.935252, 2, 61, 4, 11, 18
4, 127, 14.740157, 1, 36, 8, 13, 23
5, 126, 15.611111, 2, 62, 4, 13, 22
6, 128, 15.046875, 2, 60, 9, 13, 19
7, 124, 15.725806, 2, 44, 6, 15, 22
8, 123, 15.504065, 2, 49, 5, 13, 21
9, 113, 17.495575, 2, 50, 5, 17, 25
10, 134, 14.440299, 2, 44, 6, 13, 19
11, 131, 14.625954, 2, 66, 4, 14, 21
12, 121, 16.049587, 2, 54, 9, 15, 20
13, 120, 15.716667, 2, 36, 9, 14, 22
14, 127, 15.535433, 2, 41, 8, 16, 20
15, 125, 15.336000, 2, 53, 5, 14, 20
16, 131, 14.679389, 2, 51, 4, 13, 21
17, 110, 17.590909, 2, 56, 8, 15, 25
18, 121, 15.785124, 2, 47, 9, 15, 22
19, 125, 15.600000, 2, 54, 4, 16, 22
20, 132, 14.643939, 2, 52, 5, 14, 19
21, 133, 14.624060, 2, 52, 5, 12, 22
22, 141, 13.638298, 1, 54, 4, 12, 19
23, 130, 14.630769, 2, 66, 7, 13, 20
24, 118, 16.330508, 2, 71, 4, 15, 23
25, 126, 15.396825, 2, 55, 9, 14, 20
26, 110, 16.636364, 2, 77, 10, 15, 20
27, 135, 15.251852, 2, 96, 5, 13, 20
28, 127, 15.251969, 2, 51, 6, 15, 20
29, 123, 15.772358, 1, 54, 5, 15, 21
30, 132, 14.583333, 2, 51, 5, 14, 19
31, 140, 13.728571, 2, 48, 4, 12, 19
32, 120, 16.166667, 2, 64, 9, 14, 22
33, 115, 16.678261, 1, 52, 8, 15, 24
34, 113, 17.035398, 2, 58, 5, 15, 24
35, 123, 15.747967, 2, 47, 9, 14, 23
36, 117, 16.658120, 2, 57, 10, 15, 20
37, 117, 16.538462, 2, 49, 10, 16, 22
38, 122, 15.836066, 2, 38, 9, 16, 21
39, 118, 16.525424, 2, 62, 5, 14, 22
40, 105, 18.152381, 2, 60, 11, 17, 25
41, 122, 16.221311, 2, 67, 7, 13, 19
42, 117, 16.521368, 3, 50, 9, 15, 21
43, 129, 15.054264, 2, 54, 9, 14, 19
44, 125, 15.352000, 2, 44, 5, 15, 20
45, 116, 16.775862, 2, 51, 9, 15, 22
46, 134, 14.425373, 2, 51, 5, 13, 18
47, 107, 17.981308, 2, 102, 10, 16, 22
48, 142, 13.436620, 1, 52, 4, 12, 18
49, 125, 15.704000, 2, 59, 5, 14, 21
50, 104, 18.692308, 1, 56, 11, 18, 26
51, 135, 14.170370, 2, 55, 5, 14, 18
52, 115, 16.782609, 2, 49, 7, 16, 22
53, 122, 15.655738, 2, 52, 9, 15, 20
54, 122, 16.155738, 2, 56, 9, 15, 20
55, 118, 16.372881, 2, 55, 7, 14, 21
56, 131, 14.786260, 2, 51, 4, 14, 19
57, 137, 13.854015, 2, 56, 4, 12, 20
58, 131, 14.786260, 2, 60, 5, 13, 20
59, 127, 15.118110, 2, 56, 4, 13, 21
