time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 870, 1.737931, 1, 4, 1, 2, 2
1, 904, 1.682522, 1, 3, 1, 2, 2
2, 926, 1.589633, 1, 4, 1, 2, 2
3, 975, 1.467692, 1, 3, 1, 1, 2
4, 888, 1.683559, 1, 29, 1, 2, 2
5, 952, 1.529412, 1, 3, 1, 1, 2
6, 977, 1.465711, 1, 3, 1, 1, 2
7, 995, 1.418090, 1, 3, 1, 1, 2
8, 933, 1.555198, 1, 4, 1, 2, 2
9, 959, 1.525547, 1, 3, 1, 2, 2
10, 971, 1.472709, 1, 3, 1, 1, 2
11, 901, 1.678135, 1, 30, 1, 2, 2
12, 988, 1.434211, 1, 3, 1, 1, 2
13, 983, 1.443540, 1, 3, 1, 1, 2
14, 1043, 1.281879, 1, 3, 1, 1, 2
15, 1056, 1.251894, 1, 3, 1, 1, 1
16, 1024, 1.344727, 1, 3, 1, 1, 2
17, 1071, 1.195145, 1, 3, 1, 1, 1
18, 1063, 1.217310, 1, 3, 1, 1, 1
19, 1050, 1.248571, 1, 3, 1, 1, 1
20, 1068, 1.193820, 1, 3, 1, 1, 1
21, 1021, 1.329089, 1, 3, 1, 1, 2
22, 1057, 1.227058, 1, 3, 1, 1, 1
23, 1060, 1.233962, 1, 3, 1, 1, 1
24, 1056, 1.232008, 1, 3, 1, 1, 1
25, 1044, 1.279693, 1, 3, 1, 1, 2
26, 1041, 1.276657, 1, 3, 1, 1, 2
27, 1055, 1.232227, 1, 3, 1, 1, 1
28, 1000, 1.370000, 1, 3, 1, 1, 2
29, 910, 1.623077, 1, 3, 1, 2, 2
30, 845, 1.904142, 1, 3, 2, 2, 2
31, 758, 2.109499, 1, 5, 2, 2, 2
32, 932, 1.630901, 1, 3, 1, 2, 2
33, 928, 1.645474, 1, 4, 1, 2, 2
34, 994, 1.478873, 1, 3, 1, 1, 2
35, 966, 1.547619, 1, 3, 1, 2, 2
36, 973, 1.500514, 1, 3, 1, 1, 2
37, 986, 1.486815, 1, 3, 1, 1, 2
38, 948, 1.624473, 1, 3, 1, 2, 2
39, 1028, 1.321984, 1, 3, 1, 1, 2
40, 1027, 1.342746, 1, 3, 1, 1, 2
41, 975, 1.506667, 1, 3, 1, 2, 2
42, 1013, 1.384008, 1, 3, 1, 1, 2
43, 1010, 1.375248, 1, 3, 1, 1, 2
44, 1006, 1.410537, 1, 3, 1, 1, 2
45, 946, 1.620507, 1, 3, 1, 2, 2
46, 907, 1.757442, 1, 3, 1, 2, 2
47, 1020, 1.355882, 1, 3, 1, 1, 2
48, 993, 1.448137, 1, 3, 1, 1, 2
49, 1010, 1.401980, 1, 3, 1, 1, 2
50, 1013, 1.381046, 1, 3, 1, 1, 2
51, 981, 1.477064, 1, 3, 1, 1, 2
52, 1006, 1.411531, 1, 3, 1, 1, 2
53, 1021, 1.339863, 1, 3, 1, 1, 2
54, 1011, 1.386746, 1, 3, 1, 1, 2
55, 1016, 1.372047, 1, 3, 1, 1, 2
56, 1006, 1.391650, 1, 3, 1, 1, 2
57, 1012, 1.377470, 1, 3, 1, 1, 2
58, 1030, 1.309709, 1, 3, 1, 1, 2
59, 1038, 1.252408, 1, 3, 1, 1, 1
60, 3, 1.000000, 1, 1, 1, 1, 1
