time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 128, 15.148438, 2, 48, 8, 13, 19
1, 132, 14.621212, 2, 41, 7, 14, 19
2, 134, 14.507463, 2, 57, 6, 12, 19
3, 136, 14.191176, 2, 62, 4, 11, 19
4, 124, 15.483871, 2, 66, 7, 14, 18
5, 130, 14.869231, 1, 49, 7, 13, 20
6, 130, 14.984615, 2, 43, 8, 14, 20
7, 114, 16.894737, 2, 68, 7, 15, 24
8, 122, 15.459016, 2, 47, 8, 14, 22
9, 127, 15.748031, 1, 65, 7, 13, 20
10, 126, 15.269841, 2, 52, 7, 13, 19
11, 134, 14.261194, 2, 47, 5, 14, 19
12, 126, 15.507937, 2, 92, 6, 13, 19
13, 141, 13.801418, 2, 43, 7, 13, 18
14, 124, 15.556452, 2, 59, 5, 12, 22
15, 123, 15.642276, 2, 69, 9, 14, 20
16, 124, 15.596774, 2, 62, 8, 15, 19
17, 119, 16.075630, 2, 56, 9, 16, 20
18, 135, 14.651852, 2, 56, 4, 13, 21
19, 103, 18.854369, 2, 69, 9, 16, 25
20, 116, 16.655172, 2, 51, 11, 15, 20
21, 124, 15.580645, 2, 64, 5, 14, 21
22, 122, 15.393443, 2, 64, 5, 15, 19
23, 116, 16.956897, 2, 51, 10, 16, 22
24, 127, 15.070866, 1, 47, 6, 14, 20
25, 124, 15.822581, 2, 58, 9, 14, 19
26, 141, 13.709220, 1, 47, 5, 13, 18
27, 139, 13.575540, 2, 46, 5, 13, 18
28, 119, 16.588235, 2, 73, 6, 14, 23
29, 121, 16.057851, 2, 44, 5, 16, 23
30, 110, 17.436364, 2, 66, 10, 15, 22
31, 129, 15.085271, 2, 57, 6, 14, 20
32, 110, 17.636364, 2, 44, 12, 17, 22
33, 130, 14.915385, 2, 71, 5, 12, 21
34, 125, 15.480000, 2, 49, 8, 13, 20
35, 119, 16.218487, 2, 71, 10, 15, 21
36, 106, 18.358491, 2, 59, 10, 15, 24
37, 133, 14.578947, 2, 42, 5, 14, 21
38, 118, 16.152542, 2, 64, 9, 15, 20
39, 111, 17.738739, 1, 54, 10, 16, 25
40, 128, 15.078125, 1, 74, 4, 14, 19
41, 125, 15.392000, 2, 70, 6, 14, 21
42, 131, 14.633588, 2, 64, 7, 13, 19
43, 111, 17.639640, 2, 50, 11, 15, 24
44, 119, 16.302521, 2, 49, 10, 15, 21
45, 127, 15.259843, 2, 59, 5, 15, 20
46, 141, 13.730496, 1, 55, 6, 13, 18
47, 110, 17.536364, 2, 54, 10, 15, 23
48, 122, 15.778689, 2, 64, 6, 15, 20
49, 102, 19.088235, 2, 50, 13, 17, 25
50, 127, 15.259843, 1, 46, 6, 13, 21
51, 144, 13.506944, 1, 42, 4, 13, 17
52, 139, 13.589928, 1, 48, 4, 12, 18
53, 109, 18.018349, 2, 54, 10, 17, 23
54, 137, 13.810219, 1, 52, 5, 13, 18
55, 113, 17.557522, 2, 122, 5, 14, 21
56, 149, 12.946309, 2, 51, 4, 12, 18
57, 130, 14.707692, 2, 44, 9, 14, 19
58, 123, 15.593496, 2, 48, 4, 14, 24
59, 126, 15.460317, 1, 52, 6, 12, 22
