time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 11, 10.727273, 2, 14, 10, 12, 13
1, 8, 13.375000, 4, 18, 10, 14, 17
2, 6, 13.500000, 2, 31, 9, 11, 16
3, 7, 11.571429, 8, 14, 10, 12, 13
4, 8, 12.000000, 8, 16, 9, 12, 14
5, 5, 11.400000, 5, 16, 8, 12, 14
6, 9, 12.888889, 11, 15, 11, 13, 14
7, 6, 8.500000, 2, 15, 2, 9, 14
8, 7, 14.857143, 6, 30, 8, 15, 16
9, 7, 13.571429, 9, 18, 11, 13, 16
10, 7, 10.714286, 2, 16, 8, 13, 14
11, 6, 13.166667, 9, 16, 11, 14, 15
12, 6, 11.333333, 10, 15, 10, 10, 12
13, 7, 16.000000, 11, 32, 11, 14, 18
14, 9, 11.333333, 4, 16, 8, 12, 14
15, 5, 10.400000, 3, 17, 5, 11, 15
16, 7, 9.285714, 2, 14, 3, 11, 13
17, 8, 13.250000, 8, 18, 11, 13, 15
18, 6, 8.333333, 2, 13, 2, 10, 12
19, 8, 13.750000, 10, 32, 10, 11, 13
20, 8, 10.000000, 4, 13, 9, 10, 11
21, 5, 10.800000, 4, 14, 7, 12, 13
22, 8, 7.125000, 2, 11, 4, 7, 10
23, 6, 10.333333, 8, 14, 8, 10, 12
24, 7, 12.000000, 7, 15, 11, 12, 14
25, 4, 16.250000, 4, 39, 5, 11, 27
26, 6, 7.333333, 4, 12, 4, 6, 11
27, 6, 11.666667, 11, 12, 11, 12, 12
28, 5, 11.000000, 7, 14, 8, 12, 13
29, 8, 10.375000, 2, 14, 9, 11, 13
30, 6, 10.000000, 4, 14, 9, 10, 13
31, 7, 10.571429, 4, 13, 10, 11, 13
32, 7, 14.857143, 11, 25, 11, 14, 17
33, 6, 9.500000, 4, 13, 4, 12, 12
34, 8, 12.875000, 8, 17, 10, 12, 16
35, 8, 11.500000, 7, 16, 9, 11, 14
36, 8, 9.375000, 2, 16, 6, 10, 11
37, 9, 13.777778, 7, 30, 9, 12, 16
38, 10, 10.100000, 4, 13, 9, 10, 12
39, 8, 9.625000, 2, 15, 6, 11, 12
40, 6, 10.166667, 5, 13, 8, 11, 13
41, 6, 10.333333, 4, 15, 10, 10, 12
42, 6, 8.333333, 1, 13, 3, 10, 13
43, 7, 13.714286, 9, 31, 10, 11, 13
44, 5, 11.200000, 10, 12, 10, 12, 12
45, 12, 10.416667, 4, 15, 9, 10, 12
46, 8, 12.625000, 9, 17, 10, 13, 14
47, 9, 14.222222, 7, 30, 8, 11, 20
48, 7, 11.571429, 8, 19, 9, 10, 14
49, 9, 10.222222, 3, 15, 8, 10, 14
50, 9, 12.000000, 9, 15, 11, 11, 13
51, 6, 10.500000, 4, 13, 9, 12, 13
52, 8, 12.625000, 8, 27, 9, 11, 12
53, 8, 10.875000, 7, 14, 9, 11, 12
54, 7, 9.285714, 2, 15, 5, 10, 12
55, 7, 10.428571, 4, 16, 8, 10, 13
56, 7, 11.571429, 2, 18, 10, 11, 17
57, 7, 12.000000, 2, 29, 8, 10, 14
58, 7, 10.000000, 2, 14, 10, 10, 13
59, 8, 10.000000, 4, 16, 8, 10, 12
